Question,Correct Answer,Option1,Option2,Option3,Option4
"Which chemical element, number 11 in the Periodic table, has the symbol Na?", "Sodium", "Sodium", "Magnesium", "Potassium", "Calcium"
"Who was the original author of Frankenstein?", "Mary Shelley", "Victor Frankenstein", "Mary Shelley", "James Whale", "John Boles"
"What is the capital of Japan?", "Tokyo", "Osaka", "Kyoto", "Tokyo", "Sapporo"
"How many planets are in the Solar System?", "Eight", "Nine", "Seven", "Eight", "Six"
"What year did the Titanic sink?", "1912", "1912", "1905", "1923", "1918"
"Which element is represented by the symbol O?", "Oxygen", "Osmium", "Oxygen", "Gold", "Opal"
"What is the largest ocean on Earth?", "Pacific Ocean", "Atlantic Ocean", "Indian Ocean", "Pacific Ocean", "Arctic Ocean"
"Who painted the Mona Lisa?", "Leonardo da Vinci", "Michelangelo", "Raphael", "Leonardo da Vinci", "Vincent van Gogh"
"What is the hardest natural substance on Earth?", "Diamond", "Gold", "Silver", "Platinum", "Diamond"
"Which planet is known as the Red Planet?", "Mars", "Jupiter", "Mars", "Saturn", "Mercury"
"What gas do plants absorb from the atmosphere for photosynthesis?", "Carbon Dioxide", "Oxygen", "Nitrogen", "Carbon Dioxide", "Hydrogen"
"Which novel features the character Atticus Finch?", "To Kill a Mockingbird", "The Great Gatsby", "To Kill a Mockingbird", "Catcher in the Rye", "Moby Dick"
"In what country is the ancient city of Petra located?", "Jordan", "Egypt", "Jordan", "Israel", "Syria"
"What is the chemical formula for table salt?", "NaCl", "H2O", "CO2", "NaCl", "C12H22O11"
"Which country hosted the 2016 Summer Olympics?", "Brazil", "China", "Brazil", "Russia", "United Kingdom"
"What is the name of the longest river in the world?", "Amazon River", "Nile River", "Amazon River", "Mississippi River", "Yangtze River"
"Who wrote the play Hamlet?", "William Shakespeare", "Charles Dickens", "William Shakespeare", "Jane Austen", "George Orwell"
"What is the main ingredient in traditional French bouillabaisse?", "Fish", "Chicken", "Beef", "Fish", "Lamb"
"Which planet in our Solar System has the most moons?", "Saturn", "Jupiter", "Mars", "Saturn", "Uranus"
"Which city is known as the City of Love?", "Paris", "Rome", "Paris", "Venice", "New York"
"What metal is primarily used to make steel?", "Iron", "Copper", "Iron", "Aluminum", "Lead"
"Who discovered penicillin?", "Alexander Fleming", "Louis Pasteur", "Marie Curie", "Alexander Fleming", "Thomas Edison"
"What is the main ingredient in guacamole?", "Avocado", "Tomato", "Onion", "Pepper", "Avocado"
"Which country is the largest by land area?", "Russia", "Canada", "China", "United States", "Russia"
"What year did World War II end?", "1945", "1945", "1939", "1941", "1944"
"Which vitamin is predominantly produced in our bodies by exposure to sunlight?", "Vitamin D", "Vitamin A", "Vitamin C", "Vitamin D", "Vitamin B12"
"What is the smallest country in the world?", "Vatican City", "Monaco", "Nauru", "Vatican City", "Liechtenstein"
"Who is known as the Father of Computers?", "Charles Babbage", "Albert Einstein", "Nikola Tesla", "Charles Babbage", "Isaac Newton"
"What is traditionally the main spirit in a Margarita cocktail?", "Tequila", "Vodka", "Rum", "Tequila", "Gin"
"Which animal is known as the ship of the desert?", "Camel", "Horse", "Camel", "Elephant", "Llama"
"Which element has the highest electrical conductivity?", "Silver", "Gold", "Copper", "Silver", "Aluminum"
"Who was the first woman to win a Nobel Prize, and in what field?", "Marie Curie, Physics", "Marie Curie, Physics", "Rosalind Franklin, Chemistry", "Ada Lovelace, Mathematics", "Jane Goodall, Peace"
"What is the primary ingredient in pesto sauce?", "Basil", "Garlic", "Pine Nuts", "Basil", "Parmesan"
"Which country invented tea?", "China", "India", "Japan", "China", "England"
"What is the tallest mountain in the world when measured from base to peak?", "Mauna Kea", "Mount Everest", "K2", "Mauna Kea", "Mount Kilimanjaro"
"Which author wrote 1984?", "George Orwell", "Aldous Huxley", "George Orwell", "Ray Bradbury", "Philip K. Dick"
"Which organ in the human body produces insulin?", "Pancreas", "Liver", "Pancreas", "Kidney", "Heart"
"Which sport is known as the sport of kings?", "Horse racing", "Fencing", "Polo", "Horse racing", "Golf"
"What is the capital city of Australia?", "Canberra", "Sydney", "Melbourne", "Canberra", "Perth"
"Which historical figure is known for his role in the Protestant Reformation?", "Martin Luther", "John Calvin", "Martin Luther", "Henry VIII", "Thomas More"
"What is the chemical symbol for gold?", "Au", "Ag", "Au", "Fe", "Cu"
"Which bird is known for its colorful plumage and ability to mimic sounds?", "Parrot", "Eagle", "Owl", "Parrot", "Sparrow"
"What element is used in the bulbs of incandescent light bulbs?", "Tungsten", "Tin", "Tungsten", "Nickel", "Lead"
"Which country is known as the Land of the Rising Sun?", "Japan", "China", "Japan", "South Korea", "Thailand"
"Who wrote Pride and Prejudice?", "Jane Austen", "Charlotte Brontë", "Emily Brontë", "Jane Austen", "Mary Shelley"
"What is the largest planet in our Solar System?", "Jupiter", "Saturn", "Jupiter", "Neptune", "Mars"
"What year did the Berlin Wall fall?", "1989", "1989", "1991", "1987", "1990"
"Which acid is commonly known as vitamin C?", "Ascorbic Acid", "Hydrochloric Acid", "Ascorbic Acid", "Sulfuric Acid", "Nitric Acid"
"What city hosted the 2012 Summer Olympics?", "London", "Beijing", "London", "Rio de Janeiro", "Tokyo"
"What is the boiling point of water at sea level?", "100°C", "90°C", "95°C", "100°C", "105°C"
"Who invented the telephone?", "Alexander Graham Bell", "Thomas Edison", "Nikola Tesla", "Alexander Graham Bell", "Albert Einstein"
"Which country won the most medals in the 2008 Olympics?", "China", "United States", "Russia", "China", "Great Britain"
"What is the primary component of natural gas?", "Methane", "Ethane", "Propane", "Methane", "Butane"
"Who is the author of The Great Gatsby?", "F. Scott Fitzgerald", "Ernest Hemingway", "F. Scott Fitzgerald", "John Steinbeck", "William Faulkner"
"What ocean borders the east coast of the United States?", "Atlantic Ocean", "Pacific Ocean", "Indian Ocean", "Atlantic Ocean", "Arctic Ocean"
"What is the capital city of Spain?", "Madrid", "Barcelona", "Madrid", "Seville", "Valencia"
"What disease is caused by the deficiency of vitamin C?", "Scurvy", "Rickets", "Scurvy", "Pellagra", "Beriberi"
"Which mammal is known to have the highest blood pressure?", "Giraffe", "Elephant", "Giraffe", "Whale", "Lion"
"What year was the United Nations founded?", "1945", "1945", "1946", "1947", "1948"
"Who is often called the father of modern physics?", "Albert Einstein", "Isaac Newton", "Galileo Galilei", "Albert Einstein", "Niels Bohr"
"What is the most abundant gas in the Earths atmosphere?", "Nitrogen", "Oxygen", "Nitrogen", "Carbon Dioxide", "Hydrogen"
"Which novel is set during the American Civil War and was written by Margaret Mitchell?", "Gone with the Wind", "To Kill a Mockingbird", "Gone with the Wind", "The Scarlet Letter", "Uncle Toms Cabin"
"Which country is the largest producer of coffee?", "Brazil", "Colombia", "Vietnam", "Brazil", "Ethiopia"
"What is the longest river in Africa?", "Nile River", "Congo River", "Nile River", "Niger River", "Zambezi River"
"Which planet is known for its rings?", "Saturn", "Jupiter", "Mars", "Saturn", "Venus"
"What year did the United States declare independence from Britain?", "1776", "1776", "1783", "1775", "1781"
"Who is credited with inventing the light bulb?", "Thomas Edison", "Nikola Tesla", "Thomas Edison", "Benjamin Franklin", "James Watt"
"What is the hardest known natural material in the world?", "Diamond", "Gold", "Platinum", "Diamond", "Silver"
"Which country is the Colosseum located in?", "Italy", "Greece", "Italy", "Spain", "France"
"Who wrote The Hobbit and The Lord of the Rings?", "J.R.R. Tolkien", "J.K. Rowling", "George R.R. Martin", "J.R.R. Tolkien", "C.S. Lewis"
"What is the formula for water?", "H2O", "CO2", "H2O", "NaCl", "O2"
"Which organ is responsible for filtering blood?", "Kidney", "Liver", "Heart", "Kidney", "Lung"
"Which composer wrote the Moonlight Sonata?", "Ludwig van Beethoven", "Wolfgang Amadeus Mozart", "Johann Sebastian Bach", "Ludwig van Beethoven", "Franz Schubert"
"Which element is known for protecting bones and teeth?", "Calcium", "Iron", "Calcium", "Magnesium", "Potassium"
"Which city is famous for its Carnival celebrated every year before Lent?", "Rio de Janeiro", "New Orleans", "Venice", "Rio de Janeiro", "Mexico City"
"What is the smallest bone in the human body?", "Stapes", "Femur", "Stapes", "Tibia", "Radius"
"Which disease did the vaccine developed by Jonas Salk prevent?", "Polio", "Measles", "Malaria", "Polio", "Tuberculosis"
"Which country has the largest Muslim population?", "Indonesia", "Saudi Arabia", "Turkey", "Indonesia", "Pakistan"
"Who is the main character in Shakespeares play Macbeth?", "Macbeth", "Hamlet", "Othello", "Macbeth", "King Lear"
"What metal is a primary component of bronze?", "Copper", "Iron", "Copper", "Zinc", "Nickel"
"Which hormone regulates blood sugar levels?", "Insulin", "Adrenaline", "Insulin", "Cortisol", "Estrogen"
"What is the capital of Canada?", "Ottawa", "Toronto", "Vancouver", "Ottawa", "Montreal"
"Who is the Greek god of war?", "Ares", "Zeus", "Ares", "Apollo", "Hermes"
"What is the primary ingredient in sushi?", "Rice", "Fish", "Rice", "Seaweed", "Soy Sauce"
"Which composer wrote the Brandenburg Concertos?", "Johann Sebastian Bach", "Wolfgang Amadeus Mozart", "Ludwig van Beethoven", "Johann Sebastian Bach", "Antonio Vivaldi"
"What is the hardest known material in the universe?", "Nuclear pasta", "Diamond", "Graphene", "Nuclear pasta", "Buckypaper"
"Who wrote Brave New World?", "Aldous Huxley", "George Orwell", "Aldous Huxley", "Ray Bradbury", "H.G. Wells"
"Which river flows through Paris?", "Seine", "Thames", "Seine", "Danube", "Rhine"
"What is the unit of currency in Japan?", "Yen", "Won", "Yuan", "Yen", "Ringgit"
"Who discovered the circulation of blood?", "William Harvey", "Isaac Newton", "Charles Darwin", "William Harvey", "Galileo Galilei"
"What is the largest moon of Saturn?", "Titan", "Europa", "Ganymede", "Titan", "Callisto"
"Which book is known as the Book of Books?", "Bible", "Koran", "Torah", "Bible", "Vedas"
"What is the most widely spoken language in Brazil?", "Portuguese", "Spanish", "Portuguese", "English", "French"
"Which element has the atomic number 79?", "Gold", "Silver", "Iron", "Gold", "Platinum"
"Who painted Starry Night?", "Vincent van Gogh", "Pablo Picasso", "Claude Monet", "Vincent van Gogh", "Salvador Dalí"
"What is the most abundant metal in the Earths crust?", "Aluminum", "Iron", "Aluminum", "Silver", "Gold"
"Which novel did Fyodor Dostoevsky write?", "Crime and Punishment", "War and Peace", "Crime and Punishment", "Anna Karenina", "The Brothers Karamazov"
"Who is the Roman equivalent of the Greek goddess Athena?", "Minerva", "Hera", "Artemis", "Minerva", "Venus"
"What is the standard taste of the water?", "No inherent taste", "Sweet", "Salty", "No inherent taste", "Bitter"
"Which organ is responsible for detoxification and protein synthesis?", "Liver", "Kidney", "Heart", "Liver", "Pancreas"
"What is the name of the longest barrier reef in the world?", "Great Barrier Reef", "Belize Barrier Reef", "Great Barrier Reef", "Red Sea Coral Reef", "New Caledonia Barrier Reef"
"Which country is famously known as the Land of Fire and Ice?", "Iceland", "New Zealand", "Iceland", "Norway", "Canada"
"Who directed the movie Titanic?", "James Cameron", "Steven Spielberg", "James Cameron", "Martin Scorsese", "Ridley Scott"
"What is the symbol for the element silver?", "Ag", "Au", "Si", "Ag", "Fe"
"Which bird is known for the elaborate dances it performs during courtship?", "Peacock", "Swan", "Peacock", "Eagle", "Flamingo"
"Which acid is also known by the name muriatic acid?", "Hydrochloric acid", "Sulfuric acid", "Hydrochloric acid", "Nitric acid", "Acetic acid"
"What year did Albert Einstein publish his general theory of relativity?", "1915", "1905", "1923", "1915", "1917"
"Which film won the Academy Award for Best Picture in 1994?", "Forrest Gump", "Pulp Fiction", "The Shawshank Redemption", "Forrest Gump", "Jurassic Park"
"Which historical figure famously said, I think, therefore I am?", "René Descartes", "Socrates", "Plato", "René Descartes", "Aristotle"

